mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
14.304068,9.948084,1,2024-06-01,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-01
14.304067,9.948084,1,2024-06-03,2024-06-01
14.304068,9.948085,1,2024-06-04,2024-06-01
14.304079,9.948094,1,2024-06-05,2024-06-01
14.304069,9.948085,1,2024-06-06,2024-06-01
14.304072,9.948088,1,2024-06-07,2024-06-01
14.7610035,11.652416,2,2024-06-01,2024-06-01
14.761334,11.652637,2,2024-06-02,2024-06-01
14.765,11.655074,2,2024-06-03,2024-06-01
14.761234,11.652569,2,2024-06-04,2024-06-01
14.766143,11.655859,2,2024-06-05,2024-06-01
14.77279,11.660257,2,2024-06-06,2024-06-01
14.761412,11.652687,2,2024-06-07,2024-06-01
15.455763,12.0602665,3,2024-06-01,2024-06-01
15.456025,12.060487,3,2024-06-02,2024-06-01
15.455751,12.060258,3,2024-06-03,2024-06-01
15.455751,12.060258,3,2024-06-04,2024-06-01
15.455751,12.060258,3,2024-06-05,2024-06-01
15.455751,12.060258,3,2024-06-06,2024-06-01
15.455751,12.060258,3,2024-06-07,2024-06-01
17.337366,15.001953,4,2024-06-01,2024-06-01
17.283113,14.92576,4,2024-06-02,2024-06-01
17.209002,14.820599,4,2024-06-03,2024-06-01
14.955416,12.245632,4,2024-06-04,2024-06-01
15.069648,12.330192,4,2024-06-05,2024-06-01
15.03719,11.577909,4,2024-06-06,2024-06-01
14.765268,12.062547,4,2024-06-07,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-02
14.304068,9.948085,1,2024-06-04,2024-06-02
14.304079,9.948094,1,2024-06-05,2024-06-02
14.304069,9.948085,1,2024-06-06,2024-06-02
14.304072,9.948088,1,2024-06-07,2024-06-02
14.405993,10.034559,1,2024-06-08,2024-06-02
14.761164,11.652522,2,2024-06-02,2024-06-02
14.764999,11.655074,2,2024-06-03,2024-06-02
14.761234,11.652569,2,2024-06-04,2024-06-02
14.766143,11.655859,2,2024-06-05,2024-06-02
14.77279,11.660257,2,2024-06-06,2024-06-02
14.761412,11.652687,2,2024-06-07,2024-06-02
14.763015,11.653955,2,2024-06-08,2024-06-02
15.456064,12.06052,3,2024-06-02,2024-06-02
15.455751,12.060258,3,2024-06-03,2024-06-02
15.455751,12.060258,3,2024-06-04,2024-06-02
15.455751,12.060258,3,2024-06-05,2024-06-02
15.455751,12.060258,3,2024-06-06,2024-06-02
15.455751,12.060258,3,2024-06-07,2024-06-02
15.455751,12.060258,3,2024-06-08,2024-06-02
17.286116,14.929952,4,2024-06-02,2024-06-02
17.208973,14.820562,4,2024-06-03,2024-06-02
14.955417,12.245632,4,2024-06-04,2024-06-02
15.069648,12.330192,4,2024-06-05,2024-06-02
15.03719,11.577909,4,2024-06-06,2024-06-02
14.765268,12.062547,4,2024-06-07,2024-06-02
14.765184,12.062468,4,2024-06-08,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-03
14.304068,9.948085,1,2024-06-04,2024-06-03
14.304079,9.948094,1,2024-06-05,2024-06-03
14.304069,9.948085,1,2024-06-06,2024-06-03
14.304072,9.948088,1,2024-06-07,2024-06-03
14.405993,10.034559,1,2024-06-08,2024-06-03
17.107944,13.232552,1,2024-06-09,2024-06-03
14.763021,11.653758,2,2024-06-03,2024-06-03
14.761234,11.652569,2,2024-06-04,2024-06-03
14.766143,11.655859,2,2024-06-05,2024-06-03
14.77279,11.660257,2,2024-06-06,2024-06-03
14.761412,11.652687,2,2024-06-07,2024-06-03
14.763015,11.653955,2,2024-06-08,2024-06-03
16.32462,14.771499,2,2024-06-09,2024-06-03
15.455751,12.060258,3,2024-06-03,2024-06-03
15.455751,12.060258,3,2024-06-04,2024-06-03
15.455751,12.060258,3,2024-06-05,2024-06-03
15.455751,12.060258,3,2024-06-06,2024-06-03
15.455751,12.060258,3,2024-06-07,2024-06-03
15.455751,12.060258,3,2024-06-08,2024-06-03
15.456972,12.06139,3,2024-06-09,2024-06-03
17.207312,14.818707,4,2024-06-03,2024-06-03
14.955424,12.245641,4,2024-06-04,2024-06-03
15.069648,12.330192,4,2024-06-05,2024-06-03
15.03719,11.577909,4,2024-06-06,2024-06-03
14.765268,12.062547,4,2024-06-07,2024-06-03
14.765184,12.062468,4,2024-06-08,2024-06-03
14.765525,12.061992,4,2024-06-09,2024-06-03
17.020058,13.094107,1,2024-06-13,2024-06-13
17.083117,13.193153,1,2024-06-14,2024-06-13
17.119522,13.250968,1,2024-06-15,2024-06-13
16.020819,11.7014065,1,2024-06-16,2024-06-13
14.304757,9.948664,1,2024-06-17,2024-06-13
14.304071,9.948088,1,2024-06-18,2024-06-13
14.304067,9.948084,1,2024-06-19,2024-06-13
16.428679,15.04594,2,2024-06-13,2024-06-13
16.178005,14.503584,2,2024-06-14,2024-06-13
16.446667,15.081236,2,2024-06-15,2024-06-13
16.4871,15.106627,2,2024-06-16,2024-06-13
14.76306,11.654829,2,2024-06-17,2024-06-13
14.760997,11.652411,2,2024-06-18,2024-06-13
