mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
14.304068,9.948084,1,2024-06-01,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-01
14.304067,9.948084,1,2024-06-03,2024-06-01
14.304067,9.948084,1,2024-06-04,2024-06-01
14.3040695,9.948086,1,2024-06-05,2024-06-01
14.304068,9.948084,1,2024-06-06,2024-06-01
14.304069,9.948085,1,2024-06-07,2024-06-01
14.7610035,11.652416,2,2024-06-01,2024-06-01
14.761388,11.652672,2,2024-06-02,2024-06-01
14.767293,11.6566,2,2024-06-03,2024-06-01
14.76143,11.652699,2,2024-06-04,2024-06-01
14.770027,11.65842,2,2024-06-05,2024-06-01
14.781766,11.666231,2,2024-06-06,2024-06-01
14.761716,11.65289,2,2024-06-07,2024-06-01
15.455763,12.0602665,3,2024-06-01,2024-06-01
15.4562,12.060635,3,2024-06-02,2024-06-01
15.455751,12.060258,3,2024-06-03,2024-06-01
15.455752,12.060258,3,2024-06-04,2024-06-01
15.455751,12.060258,3,2024-06-05,2024-06-01
15.455751,12.060258,3,2024-06-06,2024-06-01
15.455751,12.060258,3,2024-06-07,2024-06-01
17.337366,15.001953,4,2024-06-01,2024-06-01
17.318405,14.975182,4,2024-06-02,2024-06-01
17.309702,14.960231,4,2024-06-03,2024-06-01
15.405527,12.69442,4,2024-06-04,2024-06-01
15.679907,12.941781,4,2024-06-05,2024-06-01
15.312733,11.791159,4,2024-06-06,2024-06-01
14.765487,12.062756,4,2024-06-07,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-02
14.304067,9.948084,1,2024-06-04,2024-06-02
14.3040695,9.948086,1,2024-06-05,2024-06-02
14.304068,9.948084,1,2024-06-06,2024-06-02
14.304069,9.948085,1,2024-06-07,2024-06-02
14.338754,9.977304,1,2024-06-08,2024-06-02
14.761164,11.652522,2,2024-06-02,2024-06-02
14.765596,11.655471,2,2024-06-03,2024-06-02
14.761381,11.652667,2,2024-06-04,2024-06-02
14.770027,11.65842,2,2024-06-05,2024-06-02
14.781766,11.666231,2,2024-06-06,2024-06-02
14.761716,11.65289,2,2024-06-07,2024-06-02
14.7641,11.654485,2,2024-06-08,2024-06-02
15.456064,12.06052,3,2024-06-02,2024-06-02
15.455751,12.060258,3,2024-06-03,2024-06-02
15.455752,12.060258,3,2024-06-04,2024-06-02
15.455751,12.060258,3,2024-06-05,2024-06-02
15.455751,12.060258,3,2024-06-06,2024-06-02
15.455751,12.060258,3,2024-06-07,2024-06-02
15.455751,12.060258,3,2024-06-08,2024-06-02
17.286116,14.929952,4,2024-06-02,2024-06-02
17.268543,14.902692,4,2024-06-03,2024-06-02
15.178091,12.464739,4,2024-06-04,2024-06-02
15.682601,12.944145,4,2024-06-05,2024-06-02
15.312728,11.791154,4,2024-06-06,2024-06-02
14.765487,12.062756,4,2024-06-07,2024-06-02
14.765184,12.062468,4,2024-06-08,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-03
14.304068,9.948084,1,2024-06-04,2024-06-03
14.30407,9.948087,1,2024-06-05,2024-06-03
14.304067,9.948084,1,2024-06-06,2024-06-03
14.304068,9.948085,1,2024-06-07,2024-06-03
14.328416,9.968575,1,2024-06-08,2024-06-03
17.036003,13.119046,1,2024-06-09,2024-06-03
14.763021,11.653758,2,2024-06-03,2024-06-03
14.761316,11.652624,2,2024-06-04,2024-06-03
14.770248,11.658567,2,2024-06-05,2024-06-03
14.784837,11.668275,2,2024-06-06,2024-06-03
14.7618265,11.652963,2,2024-06-07,2024-06-03
14.764557,11.654784,2,2024-06-08,2024-06-03
16.490532,15.11145,2,2024-06-09,2024-06-03
15.455751,12.060258,3,2024-06-03,2024-06-03
15.455752,12.060258,3,2024-06-04,2024-06-03
15.455751,12.060258,3,2024-06-05,2024-06-03
15.455751,12.060258,3,2024-06-06,2024-06-03
15.455751,12.060258,3,2024-06-07,2024-06-03
15.455751,12.060258,3,2024-06-08,2024-06-03
15.45608,12.060562,3,2024-06-09,2024-06-03
17.207312,14.818707,4,2024-06-03,2024-06-03
15.174545,12.461206,4,2024-06-04,2024-06-03
15.614675,12.873622,4,2024-06-05,2024-06-03
15.473946,11.920329,4,2024-06-06,2024-06-03
14.765647,12.062908,4,2024-06-07,2024-06-03
14.765184,12.062468,4,2024-06-08,2024-06-03
14.765683,12.06177,4,2024-06-09,2024-06-03
17.020058,13.094107,1,2024-06-13,2024-06-13
17.034952,13.117375,1,2024-06-14,2024-06-13
17.103739,13.225846,1,2024-06-15,2024-06-13
15.290968,10.871742,1,2024-06-16,2024-06-13
14.30428,9.948262,1,2024-06-17,2024-06-13
14.304068,9.948085,1,2024-06-18,2024-06-13
14.304067,9.948084,1,2024-06-19,2024-06-13
16.428679,15.04594,2,2024-06-13,2024-06-13
15.668203,13.403199,2,2024-06-14,2024-06-13
16.450499,15.0890045,2,2024-06-15,2024-06-13
16.508844,15.116775,2,2024-06-16,2024-06-13
14.762788,11.653683,2,2024-06-17,2024-06-13
