mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
14.304068,9.948084,1,2024-06-01,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-01
14.304067,9.948084,1,2024-06-03,2024-06-01
14.304067,9.948084,1,2024-06-04,2024-06-01
14.304072,9.948088,1,2024-06-05,2024-06-01
14.304068,9.948084,1,2024-06-06,2024-06-01
14.3040695,9.948086,1,2024-06-07,2024-06-01
14.7610035,11.652416,2,2024-06-01,2024-06-01
14.761388,11.652672,2,2024-06-02,2024-06-01
14.766378,11.655992,2,2024-06-03,2024-06-01
14.761343,11.652641,2,2024-06-04,2024-06-01
14.7682905,11.657267,2,2024-06-05,2024-06-01
14.77777,11.663571,2,2024-06-06,2024-06-01
14.761573,11.652794,2,2024-06-07,2024-06-01
15.455763,12.0602665,3,2024-06-01,2024-06-01
15.4562,12.060635,3,2024-06-02,2024-06-01
15.455751,12.060258,3,2024-06-03,2024-06-01
15.455752,12.060258,3,2024-06-04,2024-06-01
15.455751,12.060258,3,2024-06-05,2024-06-01
15.455751,12.060258,3,2024-06-06,2024-06-01
15.455751,12.060258,3,2024-06-07,2024-06-01
17.337366,15.001953,4,2024-06-01,2024-06-01
17.318405,14.975182,4,2024-06-02,2024-06-01
17.29113,14.934221,4,2024-06-03,2024-06-01
15.195641,12.482241,4,2024-06-04,2024-06-01
15.411176,12.665422,4,2024-06-05,2024-06-01
15.179113,11.683649,4,2024-06-06,2024-06-01
14.765369,12.062644,4,2024-06-07,2024-06-01
14.304067,9.948084,1,2024-06-02,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-02
14.304067,9.948084,1,2024-06-04,2024-06-02
14.304072,9.948088,1,2024-06-05,2024-06-02
14.304068,9.948084,1,2024-06-06,2024-06-02
14.3040695,9.948086,1,2024-06-07,2024-06-02
14.35521,9.991242,1,2024-06-08,2024-06-02
14.761164,11.652522,2,2024-06-02,2024-06-02
14.765596,11.655471,2,2024-06-03,2024-06-02
14.761322,11.652628,2,2024-06-04,2024-06-02
14.768291,11.657268,2,2024-06-05,2024-06-02
14.77777,11.663571,2,2024-06-06,2024-06-02
14.761573,11.652794,2,2024-06-07,2024-06-02
14.763522,11.654124,2,2024-06-08,2024-06-02
15.456064,12.06052,3,2024-06-02,2024-06-02
15.455751,12.060258,3,2024-06-03,2024-06-02
15.455752,12.060258,3,2024-06-04,2024-06-02
15.455751,12.060258,3,2024-06-05,2024-06-02
15.455751,12.060258,3,2024-06-06,2024-06-02
15.455751,12.060258,3,2024-06-07,2024-06-02
15.455751,12.060258,3,2024-06-08,2024-06-02
17.286116,14.929952,4,2024-06-02,2024-06-02
17.268543,14.902692,4,2024-06-03,2024-06-02
15.106385,12.393593,4,2024-06-04,2024-06-02
15.411963,12.666079,4,2024-06-05,2024-06-02
15.179113,11.683647,4,2024-06-06,2024-06-02
14.76537,12.062644,4,2024-06-07,2024-06-02
14.765184,12.062468,4,2024-06-08,2024-06-02
14.304067,9.948084,1,2024-06-03,2024-06-03
14.304068,9.948084,1,2024-06-04,2024-06-03
14.304073,9.94809,1,2024-06-05,2024-06-03
14.304068,9.948084,1,2024-06-06,2024-06-03
14.3040695,9.948086,1,2024-06-07,2024-06-03
14.35521,9.991242,1,2024-06-08,2024-06-03
17.085451,13.196871,1,2024-06-09,2024-06-03
14.763021,11.653758,2,2024-06-03,2024-06-03
14.761272,11.652595,2,2024-06-04,2024-06-03
14.767889,11.657003,2,2024-06-05,2024-06-03
14.777768,11.66357,2,2024-06-06,2024-06-03
14.761573,11.652794,2,2024-06-07,2024-06-03
14.763522,11.654124,2,2024-06-08,2024-06-03
16.455418,15.053828,2,2024-06-09,2024-06-03
15.455751,12.060258,3,2024-06-03,2024-06-03
15.455751,12.060258,3,2024-06-04,2024-06-03
15.455751,12.060258,3,2024-06-05,2024-06-03
15.455751,12.060258,3,2024-06-06,2024-06-03
15.455751,12.060258,3,2024-06-07,2024-06-03
15.455751,12.060258,3,2024-06-08,2024-06-03
15.456406,12.060864,3,2024-06-09,2024-06-03
17.207312,14.818707,4,2024-06-03,2024-06-03
15.046504,12.334616,4,2024-06-04,2024-06-03
15.288828,12.543912,4,2024-06-05,2024-06-03
15.179474,11.683647,4,2024-06-06,2024-06-03
14.765369,12.062644,4,2024-06-07,2024-06-03
14.765184,12.062468,4,2024-06-08,2024-06-03
14.765593,12.061898,4,2024-06-09,2024-06-03
17.020058,13.094107,1,2024-06-13,2024-06-13
17.063108,13.161577,1,2024-06-14,2024-06-13
17.111877,13.23879,1,2024-06-15,2024-06-13
15.536911,11.135679,1,2024-06-16,2024-06-13
14.304381,9.948348,1,2024-06-17,2024-06-13
14.304069,9.948086,1,2024-06-18,2024-06-13
14.304067,9.948084,1,2024-06-19,2024-06-13
16.428679,15.04594,2,2024-06-13,2024-06-13
15.96269,14.035921,2,2024-06-14,2024-06-13
16.450165,15.088288,2,2024-06-15,2024-06-13
16.50497,15.121221,2,2024-06-16,2024-06-13
14.762643,11.653671,2,2024-06-17,2024-06-13
