mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
12.751627,11.456011,1,2024-06-01,2024-06-01
13.159661,11.8720665,1,2024-06-02,2024-06-01
13.308335,12.417852,1,2024-06-03,2024-06-01
13.409568,12.783159,1,2024-06-04,2024-06-01
13.645018,13.148483,1,2024-06-05,2024-06-01
14.405492,12.426749,1,2024-06-06,2024-06-01
14.414838,11.6073065,1,2024-06-07,2024-06-01
12.024556,11.555373,2,2024-06-01,2024-06-01
12.252871,11.596285,2,2024-06-02,2024-06-01
12.441996,11.855671,2,2024-06-03,2024-06-01
12.253691,12.274494,2,2024-06-04,2024-06-01
12.384041,12.409559,2,2024-06-05,2024-06-01
12.414233,11.945334,2,2024-06-06,2024-06-01
12.654093,12.17821,2,2024-06-07,2024-06-01
12.091398,10.729586,3,2024-06-01,2024-06-01
12.344151,11.014177,3,2024-06-02,2024-06-01
12.595966,11.588058,3,2024-06-03,2024-06-01
12.48671,11.2347555,3,2024-06-04,2024-06-01
12.420042,10.957678,3,2024-06-05,2024-06-01
12.9242735,9.575151,3,2024-06-06,2024-06-01
13.71978,9.307949,3,2024-06-07,2024-06-01
12.087225,10.116363,4,2024-06-01,2024-06-01
11.820564,10.002632,4,2024-06-02,2024-06-01
11.873323,10.482029,4,2024-06-03,2024-06-01
11.879633,9.814823,4,2024-06-04,2024-06-01
11.496256,9.133266,4,2024-06-05,2024-06-01
11.681323,8.8372,4,2024-06-06,2024-06-01
12.173418,9.191615,4,2024-06-07,2024-06-01
12.060198,11.580026,5,2024-06-01,2024-06-01
12.268047,11.628614,5,2024-06-02,2024-06-01
12.43342,11.822105,5,2024-06-03,2024-06-01
12.318098,12.664816,5,2024-06-04,2024-06-01
12.548443,13.267464,5,2024-06-05,2024-06-01
12.061859,12.482426,5,2024-06-06,2024-06-01
13.41032,13.4378395,5,2024-06-07,2024-06-01
13.181828,11.824867,1,2024-06-02,2024-06-02
13.304909,12.404707,1,2024-06-03,2024-06-02
13.404434,12.777037,1,2024-06-04,2024-06-02
13.641181,13.144701,1,2024-06-05,2024-06-02
14.40357,12.4247,1,2024-06-06,2024-06-02
14.414031,11.606499,1,2024-06-07,2024-06-02
14.170806,11.63424,1,2024-06-08,2024-06-02
12.36549,11.604795,2,2024-06-02,2024-06-02
12.476126,11.885101,2,2024-06-03,2024-06-02
12.267698,12.292666,2,2024-06-04,2024-06-02
12.390408,12.418482,2,2024-06-05,2024-06-02
12.415949,11.94816,2,2024-06-06,2024-06-02
12.654608,12.179051,2,2024-06-07,2024-06-02
12.119275,11.986269,2,2024-06-08,2024-06-02
12.753523,11.359311,3,2024-06-02,2024-06-02
12.82886,11.8389015,3,2024-06-03,2024-06-02
12.614932,11.379914,3,2024-06-04,2024-06-02
12.480452,11.026768,3,2024-06-05,2024-06-02
12.9491205,9.592469,3,2024-06-06,2024-06-02
13.727499,9.312763,3,2024-06-07,2024-06-02
13.469353,8.847485,3,2024-06-08,2024-06-02
12.374067,10.530689,4,2024-06-02,2024-06-02
12.1765,10.778374,4,2024-06-03,2024-06-02
11.986025,9.895466,4,2024-06-04,2024-06-02
11.518513,9.14281,4,2024-06-05,2024-06-02
11.681012,8.834595,4,2024-06-06,2024-06-02
12.172493,9.190818,4,2024-06-07,2024-06-02
11.988745,8.963457,4,2024-06-08,2024-06-02
12.308634,11.501671,5,2024-06-02,2024-06-02
12.40332,11.759201,5,2024-06-03,2024-06-02
12.293053,12.628113,5,2024-06-04,2024-06-02
12.533503,13.247917,5,2024-06-05,2024-06-02
12.0574,12.476703,5,2024-06-06,2024-06-02
13.409364,13.436776,5,2024-06-07,2024-06-02
12.969093,13.222275,5,2024-06-08,2024-06-02
13.02249,12.139008,1,2024-06-03,2024-06-03
13.215406,12.598248,1,2024-06-04,2024-06-03
13.517651,13.027477,1,2024-06-05,2024-06-03
14.3430395,12.360451,1,2024-06-06,2024-06-03
14.388616,11.581116,1,2024-06-07,2024-06-03
14.16981,11.631035,1,2024-06-08,2024-06-03
13.698854,10.979906,1,2024-06-09,2024-06-03
12.539951,11.872483,2,2024-06-03,2024-06-03
12.2804985,12.304466,2,2024-06-04,2024-06-03
12.395399,12.425264,2,2024-06-05,2024-06-03
12.417272,11.950325,2,2024-06-06,2024-06-03
12.655003,12.179697,2,2024-06-07,2024-06-03
12.119375,11.986447,2,2024-06-08,2024-06-03
12.50404,11.70991,2,2024-06-09,2024-06-03
12.853647,11.865063,3,2024-06-03,2024-06-03
12.628812,11.395419,3,2024-06-04,2024-06-03
12.487019,11.034224,3,2024-06-05,2024-06-03
12.951813,9.594349,3,2024-06-06,2024-06-03
13.728332,9.313284,3,2024-06-07,2024-06-03
13.469267,8.847427,3,2024-06-08,2024-06-03
13.837542,8.952688,3,2024-06-09,2024-06-03
12.656041,11.369798,4,2024-06-03,2024-06-03
12.204292,10.093744,4,2024-06-04,2024-06-03
11.581091,9.181583,4,2024-06-05,2024-06-03
11.685344,8.832003,4,2024-06-06,2024-06-03
12.170734,9.188756,4,2024-06-07,2024-06-03
11.988353,8.963279,4,2024-06-08,2024-06-03
12.137662,9.118908,4,2024-06-09,2024-06-03
12.482329,11.762693,5,2024-06-03,2024-06-03
12.301106,12.624107,5,2024-06-04,2024-06-03
12.532019,13.24402,5,2024-06-05,2024-06-03
12.05632,12.475015,5,2024-06-06,2024-06-03
13.409087,13.436439,5,2024-06-07,2024-06-03
12.969046,13.222242,5,2024-06-08,2024-06-03
13.332797,13.277115,5,2024-06-09,2024-06-03
14.006716,11.520371,1,2024-06-13,2024-06-13
14.588163,11.681165,1,2024-06-14,2024-06-13
13.9243765,11.340261,1,2024-06-15,2024-06-13
13.931011,11.6395,1,2024-06-16,2024-06-13
14.122615,12.078282,1,2024-06-17,2024-06-13
13.800778,12.0311985,1,2024-06-18,2024-06-13
13.501917,12.269127,1,2024-06-19,2024-06-13
12.510134,11.993354,2,2024-06-13,2024-06-13
12.57448,11.887002,2,2024-06-14,2024-06-13
12.501675,11.823066,2,2024-06-15,2024-06-13
12.872382,11.884986,2,2024-06-16,2024-06-13
12.971049,12.086966,2,2024-06-17,2024-06-13
12.687393,12.2627945,2,2024-06-18,2024-06-13
12.628565,12.540695,2,2024-06-19,2024-06-13
13.808362,9.324556,3,2024-06-13,2024-06-13
13.900791,9.213484,3,2024-06-14,2024-06-13
13.54759,9.134782,3,2024-06-15,2024-06-13
13.56588,10.08548,3,2024-06-16,2024-06-13
13.499378,10.663818,3,2024-06-17,2024-06-13
12.942954,10.767001,3,2024-06-18,2024-06-13
12.5125885,11.095549,3,2024-06-19,2024-06-13
12.357829,9.197042,4,2024-06-13,2024-06-13
12.380529,9.250542,4,2024-06-14,2024-06-13
12.07015,9.043245,4,2024-06-15,2024-06-13
12.012391,9.235579,4,2024-06-16,2024-06-13
12.041811,9.380183,4,2024-06-17,2024-06-13
11.623144,9.052494,4,2024-06-18,2024-06-13
11.244548,8.976118,4,2024-06-19,2024-06-13
12.007367,11.683315,5,2024-06-13,2024-06-13
13.206247,13.06472,5,2024-06-14,2024-06-13
13.039147,12.926209,5,2024-06-15,2024-06-13
