mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
12.751627,11.456011,1,2024-06-01,2024-06-01
13.120419,11.973,1,2024-06-02,2024-06-01
13.215124,12.44097,1,2024-06-03,2024-06-01
13.22264,12.670337,1,2024-06-04,2024-06-01
13.297077,12.89358,1,2024-06-05,2024-06-01
14.0608425,12.114529,1,2024-06-06,2024-06-01
14.174899,11.420786,1,2024-06-07,2024-06-01
12.024556,11.555373,2,2024-06-01,2024-06-01
12.225325,11.299175,2,2024-06-02,2024-06-01
12.369936,11.491595,2,2024-06-03,2024-06-01
12.178946,11.91999,2,2024-06-04,2024-06-01
12.351476,12.113235,2,2024-06-05,2024-06-01
12.435194,11.712802,2,2024-06-06,2024-06-01
12.642181,11.947882,2,2024-06-07,2024-06-01
12.091398,10.729586,3,2024-06-01,2024-06-01
12.561077,11.144356,3,2024-06-02,2024-06-01
12.987283,11.839162,3,2024-06-03,2024-06-01
13.052207,11.653409,3,2024-06-04,2024-06-01
13.0672455,11.43981,3,2024-06-05,2024-06-01
13.458823,9.806715,3,2024-06-06,2024-06-01
13.972769,9.440581,3,2024-06-07,2024-06-01
12.087225,10.116363,4,2024-06-01,2024-06-01
11.942132,10.35295,4,2024-06-02,2024-06-01
12.166312,11.099064,4,2024-06-03,2024-06-01
12.1907015,10.310384,4,2024-06-04,2024-06-01
11.814087,9.496016,4,2024-06-05,2024-06-01
11.940956,9.048907,4,2024-06-06,2024-06-01
12.326876,9.3087845,4,2024-06-07,2024-06-01
12.060198,11.580026,5,2024-06-01,2024-06-01
12.290104,11.193668,5,2024-06-02,2024-06-01
12.376012,11.272703,5,2024-06-03,2024-06-01
12.29027,12.179301,5,2024-06-04,2024-06-01
12.59116,12.958157,5,2024-06-05,2024-06-01
12.229388,12.403187,5,2024-06-06,2024-06-01
13.516352,13.377946,5,2024-06-07,2024-06-01
13.181828,11.824867,1,2024-06-02,2024-06-02
13.21828,12.414209,1,2024-06-03,2024-06-02
13.218847,12.663034,1,2024-06-04,2024-06-02
