forecast_date,valid_date,model,mean_1m_temp_degC,mean_0_5m_temp_degC
2024-06-01,2024-06-01,1,12.751627,11.456011
2024-06-01,2024-06-02,1,13.159661,11.8720665
2024-06-01,2024-06-03,1,13.308335,12.417852
2024-06-01,2024-06-04,1,13.409568,12.783159
2024-06-01,2024-06-05,1,13.645018,13.148483
2024-06-01,2024-06-06,1,14.405492,12.426749
2024-06-01,2024-06-07,1,14.436839,11.61556
2024-06-01,2024-06-01,2,12.024556,11.555373
2024-06-01,2024-06-02,2,12.252871,11.596285
2024-06-01,2024-06-03,2,12.441996,11.855671
2024-06-01,2024-06-04,2,12.253691,12.274494
2024-06-01,2024-06-05,2,12.384041,12.409559
2024-06-01,2024-06-06,2,12.414233,11.945334
2024-06-01,2024-06-07,2,12.652313,12.252977
2024-06-01,2024-06-01,3,12.091398,10.729586
2024-06-01,2024-06-02,3,12.344151,11.014177
2024-06-01,2024-06-03,3,12.595966,11.588058
2024-06-01,2024-06-04,3,12.48671,11.2347555
2024-06-01,2024-06-05,3,12.420042,10.957678
2024-06-01,2024-06-06,3,12.9242735,9.575151
2024-06-01,2024-06-07,3,13.687747,9.3039055
2024-06-01,2024-06-01,4,12.087225,10.116363
2024-06-01,2024-06-02,4,11.820564,10.002632
2024-06-01,2024-06-03,4,11.873323,10.482029
2024-06-01,2024-06-04,4,11.879633,9.814823
2024-06-01,2024-06-05,4,11.496256,9.133266
2024-06-01,2024-06-06,4,11.681323,8.8372
2024-06-01,2024-06-07,4,12.12719,9.146881
2024-06-01,2024-06-01,5,12.060198,11.580026
2024-06-01,2024-06-02,5,12.268047,11.628614
2024-06-01,2024-06-03,5,12.43342,11.822105
2024-06-01,2024-06-04,5,12.318098,12.664816
2024-06-01,2024-06-05,5,12.548443,13.267464
2024-06-01,2024-06-06,5,12.061859,12.482426
2024-06-01,2024-06-07,5,13.367054,13.432716
2024-06-02,2024-06-02,1,13.181828,11.824867
2024-06-02,2024-06-03,1,13.304909,12.404707
2024-06-02,2024-06-04,1,13.404434,12.777037
2024-06-02,2024-06-05,1,13.641181,13.144701
2024-06-02,2024-06-06,1,14.40357,12.4247
2024-06-02,2024-06-07,1,14.436064,11.614773
2024-06-02,2024-06-08,1,14.168679,11.632636
2024-06-02,2024-06-02,2,12.36549,11.604795
2024-06-02,2024-06-03,2,12.476126,11.885101
2024-06-02,2024-06-04,2,12.267698,12.292666
2024-06-02,2024-06-05,2,12.390408,12.418482
2024-06-02,2024-06-06,2,12.415949,11.94816
2024-06-02,2024-06-07,2,12.65283,12.253829
2024-06-02,2024-06-08,2,12.125656,11.99921
2024-06-02,2024-06-02,3,12.753523,11.359311
2024-06-02,2024-06-03,3,12.82886,11.8389015
2024-06-02,2024-06-04,3,12.614932,11.379914
2024-06-02,2024-06-05,3,12.480452,11.026768
2024-06-02,2024-06-06,3,12.9491205,9.592469
2024-06-02,2024-06-07,3,13.695145,9.3087845
2024-06-02,2024-06-08,3,13.473608,8.851475
