mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
11.717533,11.196585,1,2024-06-01,2024-06-01
11.889728,11.282855,1,2024-06-02,2024-06-01
12.206437,11.660397,1,2024-06-03,2024-06-01
12.06581,11.909104,1,2024-06-04,2024-06-01
12.500818,12.377569,1,2024-06-05,2024-06-01
12.266617,11.369491,1,2024-06-06,2024-06-01
12.080306,10.996027,1,2024-06-07,2024-06-01
12.479162,11.6678,2,2024-06-01,2024-06-01
12.965208,12.033967,2,2024-06-02,2024-06-01
13.346771,12.636612,2,2024-06-03,2024-06-01
14.346184,13.725994,2,2024-06-04,2024-06-01
14.780262,13.977858,2,2024-06-05,2024-06-01
14.596571,12.419212,2,2024-06-06,2024-06-01
15.829693,13.011783,2,2024-06-07,2024-06-01
11.954582,10.2102585,3,2024-06-01,2024-06-01
11.761895,10.059638,3,2024-06-02,2024-06-01
11.963899,10.652199,3,2024-06-03,2024-06-01
12.914346,10.95574,3,2024-06-04,2024-06-01
13.759678,11.456781,3,2024-06-05,2024-06-01
14.72349,11.297196,3,2024-06-06,2024-06-01
14.6783285,11.1447,3,2024-06-07,2024-06-01
11.616385,11.098265,4,2024-06-01,2024-06-01
11.829875,11.304294,4,2024-06-02,2024-06-01
12.107651,11.721727,4,2024-06-03,2024-06-01
11.946489,12.109173,4,2024-06-04,2024-06-01
11.956828,12.189651,4,2024-06-05,2024-06-01
11.533806,10.856991,4,2024-06-06,2024-06-01
12.494275,11.860473,4,2024-06-07,2024-06-01
12.125649,11.414835,1,2024-06-02,2024-06-02
12.29409,11.755186,1,2024-06-03,2024-06-02
12.100146,11.953273,1,2024-06-04,2024-06-02
12.515989,12.396679,1,2024-06-05,2024-06-02
12.273276,11.376991,1,2024-06-06,2024-06-02
12.082348,10.998175,1,2024-06-07,2024-06-02
11.558204,10.67671,1,2024-06-08,2024-06-02
13.008199,11.861916,2,2024-06-02,2024-06-02
13.310013,12.561915,2,2024-06-03,2024-06-02
14.321572,13.702714,2,2024-06-04,2024-06-02
14.777282,13.97922,2,2024-06-05,2024-06-02
14.598407,12.422149,2,2024-06-06,2024-06-02
15.830035,13.012078,2,2024-06-07,2024-06-02
15.188912,12.373243,2,2024-06-08,2024-06-02
12.349171,10.596967,3,2024-06-02,2024-06-02
12.359701,11.046303,3,2024-06-03,2024-06-02
13.093783,11.121229,3,2024-06-04,2024-06-02
13.863713,11.537326,3,2024-06-05,2024-06-02
14.778357,11.3394375,3,2024-06-06,2024-06-02
14.695347,11.160425,3,2024-06-07,2024-06-02
14.765433,11.29153,3,2024-06-08,2024-06-02
12.034646,11.340197,4,2024-06-02,2024-06-02
12.164888,11.767125,4,2024-06-03,2024-06-02
11.960278,12.121508,4,2024-06-04,2024-06-02
11.9595375,12.191791,4,2024-06-05,2024-06-02
11.533944,10.856655,4,2024-06-06,2024-06-02
12.494202,11.86031,4,2024-06-07,2024-06-02
12.050596,11.206277,4,2024-06-08,2024-06-02
12.465351,11.869708,1,2024-06-03,2024-06-03
12.154278,12.018295,1,2024-06-04,2024-06-03
12.539101,12.425415,1,2024-06-05,2024-06-03
12.28338,11.388327,1,2024-06-06,2024-06-03
12.085445,11.001424,1,2024-06-07,2024-06-03
11.558809,10.677383,1,2024-06-08,2024-06-03
11.947271,10.6386385,1,2024-06-09,2024-06-03
13.109413,12.3283825,2,2024-06-03,2024-06-03
14.238932,13.643253,2,2024-06-04,2024-06-03
14.777757,13.9953375,2,2024-06-05,2024-06-03
14.605144,12.431438,2,2024-06-06,2024-06-03
15.831153,13.0129175,2,2024-06-07,2024-06-03
15.188482,12.372745,2,2024-06-08,2024-06-03
15.4249935,12.50313,2,2024-06-09,2024-06-03
12.793484,11.518934,3,2024-06-03,2024-06-03
13.263269,11.275434,3,2024-06-04,2024-06-03
13.959596,11.610327,3,2024-06-05,2024-06-03
14.828648,11.378117,3,2024-06-06,2024-06-03
14.710959,11.174852,3,2024-06-07,2024-06-03
14.770908,11.297187,3,2024-06-08,2024-06-03
14.359231,10.765032,3,2024-06-09,2024-06-03
12.335997,11.839571,4,2024-06-03,2024-06-03
11.987143,12.130844,4,2024-06-04,2024-06-03
11.960816,12.188716,4,2024-06-05,2024-06-03
11.533049,10.854654,4,2024-06-06,2024-06-03
12.493924,11.859984,4,2024-06-07,2024-06-03
12.0505705,11.206293,4,2024-06-08,2024-06-03
12.289802,11.171035,4,2024-06-09,2024-06-03
12.296149,10.923675,1,2024-06-13,2024-06-13
12.189928,10.761843,1,2024-06-14,2024-06-13
11.920723,10.764742,1,2024-06-15,2024-06-13
12.319501,11.05658,1,2024-06-16,2024-06-13
12.618357,11.648571,1,2024-06-17,2024-06-13
12.396604,11.943029,1,2024-06-18,2024-06-13
12.236997,12.041122,1,2024-06-19,2024-06-13
15.659078,12.90487,2,2024-06-13,2024-06-13
15.063209,12.315957,2,2024-06-14,2024-06-13
15.087724,12.379071,2,2024-06-15,2024-06-13
14.856152,12.342381,2,2024-06-16,2024-06-13
14.729519,12.5935545,2,2024-06-17,2024-06-13
14.088432,12.51622,2,2024-06-18,2024-06-13
13.763563,12.7311535,2,2024-06-19,2024-06-13
14.620074,11.1138735,3,2024-06-13,2024-06-13
14.886618,11.509324,3,2024-06-14,2024-06-13
14.803088,11.318665,3,2024-06-15,2024-06-13
14.353227,11.1285925,3,2024-06-16,2024-06-13
14.164405,11.201458,3,2024-06-17,2024-06-13
13.832644,11.00609,3,2024-06-18,2024-06-13
13.362154,11.005007,3,2024-06-19,2024-06-13
11.815042,10.318962,4,2024-06-13,2024-06-13
12.338547,11.337565,4,2024-06-14,2024-06-13
11.944195,11.017692,4,2024-06-15,2024-06-13
12.522201,11.615697,4,2024-06-16,2024-06-13
12.817436,11.990538,4,2024-06-17,2024-06-13
12.078606,11.704922,4,2024-06-18,2024-06-13
11.961431,11.858766,4,2024-06-19,2024-06-13
12.532208,11.005078,1,2024-06-14,2024-06-14
11.99572,10.828302,1,2024-06-15,2024-06-14
12.345647,11.081639,1,2024-06-16,2024-06-14
12.62861,11.659418,1,2024-06-17,2024-06-14
12.400252,11.947513,1,2024-06-18,2024-06-14
12.238506,12.04313,1,2024-06-19,2024-06-14
13.206816,12.313808,1,2024-06-20,2024-06-14
14.943895,12.402258,2,2024-06-14,2024-06-14
15.155272,12.473827,2,2024-06-15,2024-06-14
14.874782,12.354559,2,2024-06-16,2024-06-14
14.729259,12.58911,2,2024-06-17,2024-06-14
14.086127,12.513195,2,2024-06-18,2024-06-14
13.762463,12.730353,2,2024-06-19,2024-06-14
13.861961,12.996295,2,2024-06-20,2024-06-14
14.384035,11.16379,3,2024-06-14,2024-06-14
14.60759,11.153737,3,2024-06-15,2024-06-14
14.234914,11.040415,3,2024-06-16,2024-06-14
14.087245,11.14471,3,2024-06-17,2024-06-14
13.779842,10.965494,3,2024-06-18,2024-06-14
13.323429,10.973093,3,2024-06-19,2024-06-14
13.033918,12.051493,3,2024-06-20,2024-06-14
12.271599,10.841956,4,2024-06-14,2024-06-14
11.830447,10.832397,4,2024-06-15,2024-06-14
12.484722,11.569647,4,2024-06-16,2024-06-14
12.806818,11.97971,4,2024-06-17,2024-06-14
12.076924,11.703731,4,2024-06-18,2024-06-14
11.961126,11.858494,4,2024-06-19,2024-06-14
12.866366,12.033106,4,2024-06-20,2024-06-14
12.235618,11.047306,1,2024-06-15,2024-06-15
12.433611,11.167639,1,2024-06-16,2024-06-15
12.663713,11.696644,1,2024-06-17,2024-06-15
12.412798,11.962928,1,2024-06-18,2024-06-15
12.2437,12.050037,1,2024-06-19,2024-06-15
13.210791,12.318648,1,2024-06-20,2024-06-15
14.564141,12.561835,1,2024-06-21,2024-06-15
15.127443,12.635606,2,2024-06-15,2024-06-15
14.959906,12.467251,2,2024-06-16,2024-06-15
14.758147,12.608524,2,2024-06-17,2024-06-15
14.084895,12.50535,2,2024-06-18,2024-06-15
13.758646,12.725714,2,2024-06-19,2024-06-15
13.858687,12.99272,2,2024-06-20,2024-06-15
15.154239,13.480723,2,2024-06-21,2024-06-15
14.186752,10.8768635,3,2024-06-15,2024-06-15
14.004697,10.872383,3,2024-06-16,2024-06-15
13.939279,11.035924,3,2024-06-17,2024-06-15
13.679421,10.888301,3,2024-06-18,2024-06-15
13.250255,10.912742,3,2024-06-19,2024-06-15
12.967764,11.985037,3,2024-06-20,2024-06-15
13.882799,12.49784,3,2024-06-21,2024-06-15
11.87789,10.627402,4,2024-06-15,2024-06-15
12.445421,11.481107,4,2024-06-16,2024-06-15
12.787804,11.952623,4,2024-06-17,2024-06-15
12.072376,11.698465,4,2024-06-18,2024-06-15
11.959976,11.857066,4,2024-06-19,2024-06-15
12.865452,12.032021,4,2024-06-20,2024-06-15
13.963309,12.4788885,4,2024-06-21,2024-06-15
12.940589,11.549989,1,2024-06-16,2024-06-16
12.85098,11.882467,1,2024-06-17,2024-06-16
12.478376,12.041912,1,2024-06-18,2024-06-16
12.270678,12.085746,1,2024-06-19,2024-06-16
13.231436,12.343747,1,2024-06-20,2024-06-16
14.582836,12.582649,1,2024-06-21,2024-06-16
14.569436,13.126144,1,2024-06-22,2024-06-16
14.83213,12.539702,2,2024-06-16,2024-06-16
14.837827,12.7445345,2,2024-06-17,2024-06-16
14.1271925,12.544257,2,2024-06-18,2024-06-16
13.770205,12.729098,2,2024-06-19,2024-06-16
13.862438,12.994997,2,2024-06-20,2024-06-16
15.156852,13.483144,2,2024-06-21,2024-06-16
15.120534,13.583412,2,2024-06-22,2024-06-16
14.015404,10.940175,3,2024-06-16,2024-06-16
13.967483,11.059799,3,2024-06-17,2024-06-16
13.699906,10.904175,3,2024-06-18,2024-06-16
13.265197,10.925077,3,2024-06-19,2024-06-16
12.981234,11.998592,3,2024-06-20,2024-06-16
13.892783,12.507548,3,2024-06-21,2024-06-16
14.311166,13.0045595,3,2024-06-22,2024-06-16
12.616357,11.314208,4,2024-06-16,2024-06-16
12.756779,11.846875,4,2024-06-17,2024-06-16
12.052699,11.664909,4,2024-06-18,2024-06-16
11.953278,11.847262,4,2024-06-19,2024-06-16
12.859658,12.024898,4,2024-06-20,2024-06-16
13.9570675,12.472325,4,2024-06-21,2024-06-16
14.056998,12.817608,4,2024-06-22,2024-06-16
13.346233,12.331973,1,2024-06-17,2024-06-17
12.651538,12.243492,1,2024-06-18,2024-06-17
12.341677,12.178793,1,2024-06-19,2024-06-17
13.285903,12.40967,1,2024-06-20,2024-06-17
14.632199,12.637628,1,2024-06-21,2024-06-17
14.609578,13.169715,1,2024-06-22,2024-06-17
14.577358,13.292491,1,2024-06-23,2024-06-17
14.856664,12.90465,2,2024-06-17,2024-06-17
14.207963,12.647371,2,2024-06-18,2024-06-17
13.807784,12.755374,2,2024-06-19,2024-06-17
13.883463,13.014602,2,2024-06-20,2024-06-17
15.175394,13.50219,2,2024-06-21,2024-06-17
15.1352415,13.597222,2,2024-06-22,2024-06-17
14.888077,13.267485,2,2024-06-23,2024-06-17
14.260946,11.324892,3,2024-06-17,2024-06-17
13.921886,11.076677,3,2024-06-18,2024-06-17
13.428981,11.060129,3,2024-06-19,2024-06-17
13.130304,12.147799,3,2024-06-20,2024-06-17
14.004415,12.615493,3,2024-06-21,2024-06-17
14.398489,13.084652,3,2024-06-22,2024-06-17
14.598229,12.97945,3,2024-06-23,2024-06-17
12.983149,11.814778,4,2024-06-17,2024-06-17
12.032365,11.577242,4,2024-06-18,2024-06-17
11.93789,11.81928,4,2024-06-19,2024-06-17
12.844663,12.005613,4,2024-06-20,2024-06-17
13.940533,12.454768,4,2024-06-21,2024-06-17
14.041464,12.801353,4,2024-06-22,2024-06-17
14.109142,12.7755575,4,2024-06-23,2024-06-17
13.037208,12.637626,1,2024-06-18,2024-06-18
12.494164,12.372384,1,2024-06-19,2024-06-18
13.402968,12.549583,1,2024-06-20,2024-06-18
14.738337,12.7558565,1,2024-06-21,2024-06-18
14.696231,13.263773,1,2024-06-22,2024-06-18
14.647698,13.368335,1,2024-06-23,2024-06-18
15.633065,13.781741,1,2024-06-24,2024-06-18
14.397171,12.979829,2,2024-06-18,2024-06-18
13.9494915,12.8832035,2,2024-06-19,2024-06-18
13.980185,13.111766,2,2024-06-20,2024-06-18
15.264364,13.595124,2,2024-06-21,2024-06-18
15.206774,13.6647415,2,2024-06-22,2024-06-18
14.944827,13.31665,2,2024-06-23,2024-06-18
15.55392,13.847204,2,2024-06-24,2024-06-18
14.295028,11.4138365,3,2024-06-18,2024-06-18
13.732758,11.311752,3,2024-06-19,2024-06-18
13.413899,12.427911,3,2024-06-20,2024-06-18
14.223039,12.824114,3,2024-06-21,2024-06-18
14.56877,13.2396,3,2024-06-22,2024-06-18
14.732779,13.101373,3,2024-06-23,2024-06-18
15.303,13.542753,3,2024-06-24,2024-06-18
12.234003,11.59421,4,2024-06-18,2024-06-18
11.951239,11.804109,4,2024-06-19,2024-06-18
12.845192,12.00094,4,2024-06-20,2024-06-18
13.938631,12.451676,4,2024-06-21,2024-06-18
14.039213,12.798755,4,2024-06-22,2024-06-18
14.106991,12.773285,4,2024-06-23,2024-06-18
15.028364,13.307477,4,2024-06-24,2024-06-18
12.921402,12.870942,1,2024-06-19,2024-06-19
13.730201,12.927777,1,2024-06-20,2024-06-19
15.034248,13.085443,1,2024-06-21,2024-06-19
14.939768,13.528096,1,2024-06-22,2024-06-19
14.847232,13.583046,1,2024-06-23,2024-06-19
15.816858,13.985844,1,2024-06-24,2024-06-19
16.500671,14.767638,1,2024-06-25,2024-06-19
14.23955,13.316717,2,2024-06-19,2024-06-19
14.288029,13.454771,2,2024-06-20,2024-06-19
15.56369,13.915621,2,2024-06-21,2024-06-19
15.451838,13.897703,2,2024-06-22,2024-06-19
15.143349,13.488628,2,2024-06-23,2024-06-19
15.711564,14.005473,2,2024-06-24,2024-06-19
16.21454,14.707993,2,2024-06-25,2024-06-19
13.885174,11.557171,3,2024-06-19,2024-06-19
13.623116,12.644104,3,2024-06-20,2024-06-19
14.392127,12.985476,3,2024-06-21,2024-06-19
14.700034,13.358288,3,2024-06-22,2024-06-19
