mean_1m_temp_degC,mean_0_5m_temp_degC,model,valid_date,forecast_date
11.948392,9.610523,1,2024-06-01,2024-06-01
11.004136,8.907995,1,2024-06-02,2024-06-01
11.741356,9.454894,1,2024-06-03,2024-06-01
11.205433,9.057533,1,2024-06-04,2024-06-01
10.973881,8.877013,1,2024-06-05,2024-06-01
11.101475,8.980849,1,2024-06-06,2024-06-01
11.749224,9.466235,1,2024-06-07,2024-06-01
16.807953,11.59985,2,2024-06-01,2024-06-01
16.936161,11.734224,2,2024-06-02,2024-06-01
16.870537,11.66503,2,2024-06-03,2024-06-01
16.817184,11.609866,2,2024-06-04,2024-06-01
16.815454,11.607582,2,2024-06-05,2024-06-01
16.799171,11.590663,2,2024-06-06,2024-06-01
16.798481,11.591097,2,2024-06-07,2024-06-01
19.202148,16.839745,3,2024-06-01,2024-06-01
19.112637,16.758783,3,2024-06-02,2024-06-01
18.868925,16.399523,3,2024-06-03,2024-06-01
19.065538,16.705076,3,2024-06-04,2024-06-01
18.67803,17.46075,3,2024-06-05,2024-06-01
19.018118,16.836546,3,2024-06-06,2024-06-01
18.776638,16.657398,3,2024-06-07,2024-06-01
12.115347,9.158369,4,2024-06-01,2024-06-01
10.46154,7.8934107,4,2024-06-02,2024-06-01
10.891361,8.230661,4,2024-06-03,2024-06-01
11.94899,9.006132,4,2024-06-04,2024-06-01
11.676728,8.7746315,4,2024-06-05,2024-06-01
13.460191,10.126427,4,2024-06-06,2024-06-01
14.168279,10.888956,4,2024-06-07,2024-06-01
11.009723,8.911991,1,2024-06-02,2024-06-02
11.741881,9.455287,1,2024-06-03,2024-06-02
11.20546,9.057552,1,2024-06-04,2024-06-02
10.973881,8.877013,1,2024-06-05,2024-06-02
11.101475,8.980849,1,2024-06-06,2024-06-02
11.749224,9.466235,1,2024-06-07,2024-06-02
13.676954,11.59047,1,2024-06-08,2024-06-02
16.858763,11.652994,2,2024-06-02,2024-06-02
16.86928,11.663722,2,2024-06-03,2024-06-02
16.817179,11.60986,2,2024-06-04,2024-06-02
16.815454,11.607581,2,2024-06-05,2024-06-02
16.799171,11.590663,2,2024-06-06,2024-06-02
16.798481,11.591097,2,2024-06-07,2024-06-02
16.770857,12.221095,2,2024-06-08,2024-06-02
18.937267,16.624416,3,2024-06-02,2024-06-02
18.890638,16.427608,3,2024-06-03,2024-06-02
19.062763,16.701565,3,2024-06-04,2024-06-02
18.677885,17.46044,3,2024-06-05,2024-06-02
19.018158,16.836594,3,2024-06-06,2024-06-02
18.776625,16.657385,3,2024-06-07,2024-06-02
18.374184,18.425865,3,2024-06-08,2024-06-02
10.679642,8.056367,4,2024-06-02,2024-06-02
10.9195595,8.252695,4,2024-06-03,2024-06-02
11.954119,9.010136,4,2024-06-04,2024-06-02
