date,value
2026-05-15,345.396
2026-05-16,350.625
2026-05-17,350.667
2026-05-18,332.021
2026-05-19,411.313
2026-05-20,308.76
2026-05-21,397.26
2026-05-22,401.208
2026-05-23,399.146
2026-05-24,350.344
2026-05-25,349.917
2026-05-26,276.406
2026-05-27,221.927
2026-05-28,218.24
2026-05-29,217.99
2026-05-30,221.115
2026-05-31,109.757
2026-06-01,199.893
2026-06-02,218.063
2026-06-03,212.469
2026-06-04,210.594
2026-06-05,220.479
2026-06-06,221.292
2026-06-07,220.99
2026-06-08,221.031
2026-06-09,221.229
2026-06-10,105.581
2026-06-11,45.118
2026-06-12,41.883
2026-06-13,42.008
2026-06-14,42.383
2026-06-15,42.367
2026-06-16,87.402
2026-06-17,379.846
2026-06-18,401.125
2026-06-19,399
2026-06-20,398.479
2026-06-21,398.542
2026-06-22,397.854
2026-06-23,429.125
2026-06-24,431.156
2026-06-25,430.313
2026-06-26,431.854
2026-06-27,432.042
2026-06-28,NA
