date,q_cfs
2026-05-15,159.49
2026-05-16,137.875
2026-05-17,123.493
2026-05-18,92.745
2026-05-19,73.158
2026-05-20,61.956
2026-05-21,55.479
2026-05-22,54.769
2026-05-23,56.367
2026-05-24,56.631
2026-05-25,76.3
2026-05-26,114.875
2026-05-27,196.218
2026-05-28,218.313
2026-05-29,259.1
2026-05-30,228.578
2026-05-31,187.272
2026-06-01,154.771
2026-06-02,167.348
2026-06-03,185.062
2026-06-04,176.638
2026-06-05,174.82
2026-06-06,180.903
2026-06-07,170.711
2026-06-08,156.262
2026-06-09,142.581
2026-06-10,122.036
2026-06-11,112.031
2026-06-12,96.05
2026-06-13,96.327
2026-06-14,93.246
2026-06-15,86.073
2026-06-16,82.33
2026-06-17,75.659
2026-06-18,75.29
2026-06-19,67.482
2026-06-20,61.815
2026-06-21,59.201
2026-06-22,55.397
2026-06-23,51.299
2026-06-24,48.096
2026-06-25,50.351
2026-06-26,51.017
NA,NA
