datetime,value,date
2026-05-15T00:00:00.000-07:00,138.367,2026-05-15
2026-05-16T00:00:00.000-07:00,123.336,2026-05-16
2026-05-17T00:00:00.000-07:00,109.071,2026-05-17
2026-05-18T00:00:00.000-07:00,103.816,2026-05-18
2026-05-19T00:00:00.000-07:00,91.434,2026-05-19
2026-05-20T00:00:00.000-07:00,84.427,2026-05-20
2026-05-21T00:00:00.000-07:00,68.769,2026-05-21
2026-05-22T00:00:00.000-07:00,69.106,2026-05-22
2026-05-23T00:00:00.000-07:00,67.312,2026-05-23
2026-05-24T00:00:00.000-07:00,61.157,2026-05-24
2026-05-25T00:00:00.000-07:00,64.442,2026-05-25
2026-05-26T00:00:00.000-07:00,79.61,2026-05-26
2026-05-27T00:00:00.000-07:00,103.472,2026-05-27
2026-05-28T00:00:00.000-07:00,119.977,2026-05-28
2026-05-29T00:00:00.000-07:00,141.681,2026-05-29
2026-05-30T00:00:00.000-07:00,162.304,2026-05-30
2026-05-31T00:00:00.000-07:00,143.827,2026-05-31
2026-06-01T00:00:00.000-07:00,115.466,2026-06-01
2026-06-02T00:00:00.000-07:00,114.443,2026-06-02
2026-06-03T00:00:00.000-07:00,117.782,2026-06-03
2026-06-04T00:00:00.000-07:00,107.549,2026-06-04
2026-06-05T00:00:00.000-07:00,100.535,2026-06-05
2026-06-06T00:00:00.000-07:00,100.384,2026-06-06
2026-06-07T00:00:00.000-07:00,92.312,2026-06-07
